  15.40000 3.95616E+11 9.19929E+10   0.52097
  15.50000 3.54877E+11 8.29618E+10   0.51823
  15.60000 3.18430E+11 7.48394E+10   0.51550
  15.70000 2.85812E+11 6.75320E+10   0.51277
  15.80000 2.56612E+11 6.09561E+10   0.51006
  15.90000 2.30465E+11 5.50366E+10   0.50735
  16.00000 2.07044E+11 4.97067E+10   0.50464
  16.10000 1.86060E+11 4.49061E+10   0.50195
  16.20000 1.67252E+11 4.05810E+10   0.49926
  16.30000 1.50392E+11 3.66834E+10   0.49658
  16.40000 1.35271E+11 3.31698E+10   0.49391
  16.50000 1.21708E+11 3.00016E+10   0.49125
  16.60000 1.09537E+11 2.71440E+10   0.48859
  16.70000 9.86133E+10 2.45657E+10   0.48594
  16.80000 8.88057E+10 2.22390E+10   0.48330
  16.90000 7.99976E+10 2.01385E+10   0.48067
  17.00000 7.20849E+10 1.82418E+10   0.47804
  17.10000 6.49743E+10 1.65285E+10   0.47542
  17.20000 5.85829E+10 1.49806E+10   0.47281
  17.30000 5.28361E+10 1.35817E+10   0.47021
  17.40000 4.76673E+10 1.23170E+10   0.46761
  17.50000 4.30172E+10 1.11733E+10   0.46503
  17.60000 3.88325E+10 1.01389E+10   0.46245
  17.70000 3.50654E+10 9.20287E+09   0.45987
  17.80000 3.16732E+10 8.35574E+09   0.45731
  17.90000 2.86179E+10 7.58883E+09   0.45475
  18.00000 2.58651E+10 6.89433E+09   0.45220
  18.10000 2.33841E+10 6.26523E+09   0.44966
  18.20000 2.11475E+10 5.69521E+09   0.44712
  18.30000 1.91306E+10 5.17858E+09   0.44460
  18.40000 1.73112E+10 4.71019E+09   0.44208
  18.50000 1.56696E+10 4.28543E+09   0.43956
  18.60000 1.41880E+10 3.90012E+09   0.43706
  18.70000 1.28503E+10 3.55050E+09   0.43456
  18.80000 1.16422E+10 3.23317E+09   0.43207
  18.90000 1.05509E+10 2.94507E+09   0.42959
  19.00000 9.56480E+09 2.68343E+09   0.42712
  19.10000 8.67346E+09 2.44575E+09   0.42465
  19.20000 7.86755E+09 2.22978E+09   0.42219
  19.30000 7.13868E+09 2.03348E+09   0.41974
  19.40000 6.47929E+09 1.85501E+09   0.41730
  19.50000 5.88258E+09 1.69270E+09   0.41486
  19.60000 5.34243E+09 1.54504E+09   0.41243
  19.70000 4.85334E+09 1.41068E+09   0.41001
